Symbol,Market Cap,Short Float,Shs Float,Shs Outstand,source
ACOR,47.90M,4.54%,9.32M,9.99M,FINVIZ
ACQRU,-,0.01%,49.28M,-,FINVIZ
ACRS,1.05B,5.38%,51.35M,53.97M,FINVIZ
ACRX,110.65M,2.81%,116.88M,119.12M,FINVIZ
ACST,96.73M,4.96%,20.63M,26.05M,FINVIZ
ACT,3.74B,0.02%,162.84M,162.91M,FINVIZ
ACTDU,N/A,N/A,N/A,N/A,YAHOO
ACTG,292.00M,3.34%,47.63M,48.73M,FINVIZ
ACVA,3.13B,5.30%,44.98M,154.57M,FINVIZ
ACWI,Not Found,Not Found,Not Found,Not Found,YAHOO
ACWX,Not Found,Not Found,Not Found,Not Found,YAHOO
ACXP,52.50M,1.32%,7.74M,10.12M,FINVIZ
ADAG,502.65M,1.12%,18.25M,36.41M,FINVIZ
ADAP,797.31M,2.42%,126.69M,155.71M,FINVIZ
ADBE,307.07B,0.97%,474.32M,477.00M,FINVIZ
ADER,338.54M,0.11%,27.50M,27.50M,FINVIZ
ADERU,-,0.00%,25.06M,-,FINVIZ
ADES,131.18M,1.17%,15.05M,18.27M,FINVIZ
ADGI,3.24B,5.97%,51.74M,110.92M,FINVIZ
ADI,93.26B,2.25%,366.72M,368.48M,FINVIZ
ADIL,72.03M,6.03%,16.33M,17.59M,FINVIZ
ADMA,161.96M,10.89%,105.95M,127.42M,FINVIZ
ADMP,164.91M,6.50%,147.89M,148.89M,FINVIZ
ADMS,370.06M,3.57%,44.89M,45.46M,FINVIZ
ADN,512.20M,13.19%,31.95M,53.41M,FINVIZ
ADOC,120.12M,0.40%,7.91M,9.55M,FINVIZ
ADP,93.57B,0.90%,422.19M,423.30M,FINVIZ
ADPT,4.74B,3.08%,138.54M,140.36M,FINVIZ
ADSK,69.17B,1.08%,219.15M,219.80M,FINVIZ
ADTN,910.51M,3.09%,48.05M,48.45M,FINVIZ
ADTX,47.48M,7.65%,18.07M,29.13M,FINVIZ
ADV,2.76B,4.44%,98.35M,318.46M,FINVIZ
ADVM,228.52M,8.42%,96.16M,98.02M,FINVIZ
ADXN,57.30M,0.04%,2.34M,7.26M,FINVIZ
ADXS,75.90M,2.46%,145.54M,145.64M,FINVIZ
AEACU,-,0.00%,23.00M,-,FINVIZ
AEHAU,N/A,N/A,N/A,N/A,YAHOO
AEHL,14.03M,16.04%,1.56M,4.36M,FINVIZ
AEHR,650.55M,9.79%,22.11M,24.00M,FINVIZ
AEI,85.51M,13.69%,3.70M,11.06M,FINVIZ
AEMD,52.78M,3.19%,13.88M,15.39M,YAHOO
AEP,42.19B,1.28%,499.75M,499.92M,FINVIZ
AEPPL,N/A,N/A,N/A,N/A,YAHOO
AEPPZ,N/A,N/A,499.75M,N/A,YAHOO
AERI,543.30M,14.71%,46.03M,46.20M,FINVIZ
AESE,66.86M,5.54%,13.62M,38.96M,FINVIZ
AEVA,1.71B,10.73%,72.73M,211.55M,FINVIZ
AEY,28.34M,1.55%,7.68M,12.49M,FINVIZ
AEZS,76.21M,3.33%,121.18M,121.20M,FINVIZ
AFAQU,N/A,N/A,N/A,N/A,YAHOO
AFCG,313.59M,0.79%,11.35M,13.37M,FINVIZ
AFIB,291.18M,10.88%,15.52M,28.15M,FINVIZ
AFIN,974.47M,2.19%,107.86M,110.90M,FINVIZ
AFINO,-,0.00%,107.84M,-,FINVIZ
AFMD,835.99M,2.96%,116.41M,119.64M,FINVIZ
AFRM,32.58B,11.44%,97.01M,283.46M,FINVIZ
AFYA,1.71B,1.71%,37.03M,93.27M,FINVIZ
AGBAR,N/A,N/A,N/A,N/A,YAHOO
AGC,777.56M,41.89%,41.12M,50.00M,FINVIZ
AGCUU,-,0.00%,50.00M,-,FINVIZ
AGEN,1.15B,7.40%,203.27M,222.91M,FINVIZ
AGFS,113.84M,1.98%,19.90M,51.35M,FINVIZ
AGFY,332.32M,6.53%,18.14M,20.34M,FINVIZ
AGGRU,N/A,N/A,N/A,N/A,YAHOO
AGIL,-,0.76%,24.88M,-,FINVIZ
AGIO,2.74B,11.98%,55.69M,61.07M,FINVIZ
AGLE,358.68M,1.36%,48.40M,49.03M,FINVIZ
AGMH,243.65M,1.04%,5.76M,21.36M,FINVIZ
AGNC,8.38B,2.38%,522.81M,526.60M,FINVIZ
AGRI,51.12M,0.07%,12.05M,16.76M,FINVIZ
AGRX,100.01M,1.90%,75.28M,88.69M,FINVIZ
AGTC,114.45M,7.15%,42.63M,42.73M,FINVIZ
AGZD,Not Found,Not Found,Not Found,Not Found,YAHOO
AHCO,3.60B,7.27%,80.83M,129.66M,FINVIZ
AHPAU,N/A,N/A,N/A,N/A,YAHOO
AHPI,22.97M,2.94%,2.93M,4.01M,FINVIZ
AHT,406.24M,4.84%,27.54M,200.57M,FINVIZ
AIA,Not Found,Not Found,Not Found,Not Found,YAHOO
AIH,96.02M,1.07%,23.60M,23.60M,FINVIZ
AIHS,40.19M,0.32%,43.71M,52.73M,FINVIZ
AIKI,78.21M,0.12%,89.50M,89.60M,FINVIZ
AIMC,3.52B,1.37%,64.13M,64.80M,FINVIZ
AINV,877.78M,3.14%,64.68M,65.11M,FINVIZ
AIRG,118.25M,2.27%,9.44M,10.03M,FINVIZ
AIRT,79.49M,0.70%,1.52M,2.88M,FINVIZ
AKAM,17.27B,5.84%,160.28M,163.07M,FINVIZ
AKBA,499.24M,7.20%,158.39M,161.33M,FINVIZ
AKICU,N/A,N/A,N/A,N/A,YAHOO
AKRO,739.26M,10.88%,24.70M,34.81M,FINVIZ
AKTS,417.51M,8.73%,49.15M,50.56M,FINVIZ
AKTX,65.80M,0.17%,24.66M,38.47M,FINVIZ
AKU,156.69M,N/A,32.06M,89.03M,YAHOO
AKUS,330.11M,6.97%,33.27M,34.37M,FINVIZ
AKYA,495.95M,3.96%,16.57M,29.98M,FINVIZ
ALAC,51.60M,2.98%,1.28M,4.44M,FINVIZ
ALACR,N/A,N/A,N/A,N/A,YAHOO
ALBO,568.04M,6.90%,16.77M,19.20M,FINVIZ
ALDX,533.81M,7.93%,47.11M,54.28M,FINVIZ
ALEC,1.77B,10.41%,70.33M,79.79M,FINVIZ
ALF,73.42M,6.86%,8.21M,10.70M,FINVIZ
ALGM,6.36B,3.05%,84.95M,189.59M,FINVIZ
ALGN,50.08B,1.88%,73.69M,79.01M,FINVIZ
ALGS,680.85M,5.89%,32.89M,37.74M,FINVIZ
ALHC,3.71B,3.16%,75.23M,187.27M,YAHOO
ALJJ,46.60M,0.65%,18.74M,42.32M,FINVIZ
ALKS,4.86B,7.29%,159.52M,160.82M,FINVIZ
ALKT,2.68B,2.21%,28.94M,74.83M,FINVIZ
ALLK,5.20B,4.81%,50.57M,53.67M,FINVIZ
ALLO,2.47B,6.38%,74.08M,134.83M,FINVIZ
ALLT,540.09M,0.43%,34.85M,35.94M,FINVIZ
ALNA,68.65M,3.16%,53.29M,57.93M,FINVIZ
ALNY,23.60B,3.80%,118.15M,118.85M,YAHOO
ALPAU,N/A,N/A,N/A,N/A,YAHOO
ALPN,305.12M,2.58%,16.16M,23.91M,FINVIZ
ALRM,4.22B,5.64%,45.80M,49.81M,FINVIZ
ALRN,82.75M,1.44%,81.16M,90.46M,FINVIZ
ALT,439.24M,15.31%,37.34M,41.36M,FINVIZ
ALTM,1.25B,5.64%,3.29M,3.75M,FINVIZ
ALTO,385.33M,15.12%,69.70M,71.26M,FINVIZ
ALTR,6.07B,7.45%,48.85M,75.26M,FINVIZ
ALTU,370.88M,0.81%,30.00M,37.50M,FINVIZ
ALTUU,-,0.03%,30.00M,-,FINVIZ
ALVR,1.56B,8.78%,31.71M,62.34M,FINVIZ
ALXO,2.25B,9.34%,24.83M,40.25M,FINVIZ
ALYA,291.80M,0.54%,40.91M,83.88M,FINVIZ
ALZN,192.09M,1.41%,44.63M,84.59M,FINVIZ
AMAOU,N/A,N/A,N/A,N/A,YAHOO
AMAT,121.03B,1.47%,899.90M,908.00M,FINVIZ
AMBA,6.95B,4.16%,34.78M,36.44M,FINVIZ
AMC,19.47B,20.56%,448.56M,550.36M,FINVIZ
AMCI,186.75M,N/A,N/A,15M,YAHOO
AMCIU,N/A,N/A,N/A,N/A,YAHOO
AMCX,1.73B,19.78%,28.64M,42.48M,FINVIZ
AMD,145.24B,5.73%,1.21B,1.22B,FINVIZ
AMED,5.45B,2.73%,32.15M,32.59M,FINVIZ
AMEH,3.79B,13.60%,37.49M,44.16M,FINVIZ
AMGN,117.39B,2.01%,566.76M,573.00M,FINVIZ
AMKR,5.57B,5.90%,89.01M,243.86M,FINVIZ
AMPG,37.02M,3.67%,6.04M,8.86M,FINVIZ
AMPH,900.56M,6.21%,36.79M,47.73M,FINVIZ
AMPL,7.39B,0.97%,38.20M,99.50M,FINVIZ
AMRK,834.64M,2.21%,8.33M,11.16M,FINVIZ
AMRN,1.89B,4.80%,380.97M,395.90M,FINVIZ
AMRS,4.54B,10.53%,195.33M,320.09M,FINVIZ
AMSC,520.89M,6.49%,26.09M,26.83M,FINVIZ
AMST,38.40M,1.29%,12.46M,20.55M,FINVIZ
AMSWA,976.68M,1.43%,23.82M,33.05M,FINVIZ
AMTI,854.86M,8.18%,29.43M,38.13M,FINVIZ
AMTX,627.05M,12.22%,29.55M,30.92M,FINVIZ
AMZN,1758.86B,1.10%,437.51M,505.00M,FINVIZ
ANAB,902.12M,9.06%,27.28M,27.39M,FINVIZ
ANAT,5.11B,1.58%,20.56M,26.88M,FINVIZ
ANEB,156.41M,0.16%,5.71M,23.58M,FINVIZ
ANGI,6.57B,11.10%,78.70M,504.47M,FINVIZ
ANGL,Not Found,Not Found,Not Found,Not Found,YAHOO
ANGN,125.98M,8.16%,17.99M,29.67M,FINVIZ
ANGO,1.11B,2.05%,36.88M,38.73M,FINVIZ
ANIK,593.93M,7.48%,14.30M,14.39M,FINVIZ
ANIX,142.53M,2.29%,28.51M,30.45M,FINVIZ
ANNX,617.33M,3.63%,36.19M,38.28M,FINVIZ
ANPC,37.67M,0.26%,4.26M,11.96M,FINVIZ
ANSS,33.18B,0.95%,86.89M,87.17M,FINVIZ
ANTE,42.71M,N/A,6.85M,17.8M,YAHOO
ANY,382.26M,4.95%,19.4M,58.81M,YAHOO
ANZUU,N/A,N/A,N/A,N/A,YAHOO
AOSL,943.17M,2.68%,21.23M,26.25M,FINVIZ
AOUT,324.62M,3.35%,13.91M,14.08M,FINVIZ
APA,9.67B,3.46%,376.96M,378.00M,FINVIZ
APACU,N/A,N/A,N/A,N/A,YAHOO
APDN,41.43M,5.69%,6.84M,7.49M,FINVIZ
APEN,350.10M,3.21%,15.34M,27.27M,FINVIZ
API,2.59B,21.42%,41.68M,110.36M,FINVIZ
APLS,2.73B,8.23%,69.52M,80.65M,FINVIZ
APM,86.95M,0.96%,8.78M,34.28M,FINVIZ
APMIU,N/A,N/A,N/A,N/A,YAHOO
APOG,1.05B,2.53%,24.59M,25.14M,FINVIZ
APOP,52.55M,1.01%,3.57M,129.43M,FINVIZ
APP,37.38B,7.14%,71.04M,335.62M,FINVIZ
APPH,626.26M,27.38%,57.53M,104.03M,FINVIZ
APPN,7.34B,16.69%,39.15M,70.95M,FINVIZ
APPS,8.86B,4.78%,87.65M,91.58M,FINVIZ
APR,1.30B,3.38%,34.24M,35.24M,FINVIZ
APRE,112.86M,4.38%,19.04M,21.19M,FINVIZ
APTMU,N/A,N/A,N/A,N/A,YAHOO
APTO,187.21M,3.63%,84.44M,88.95M,FINVIZ
APTX,153.06M,0.97%,60.30M,67.38M,FINVIZ
APVO,78.49M,2.41%,2.61M,4.54M,FINVIZ
APWC,46.12M,2.22%,3.39M,13.82M,FINVIZ
APYX,487.92M,1.68%,30.04M,34.32M,FINVIZ
AQB,290.55M,5.81%,70.13M,71.02M,FINVIZ
AQMS,127.12M,10.90%,67.71M,68.15M,FINVIZ
AQST,206.32M,3.29%,36.78M,37.06M,FINVIZ
ARAV,74.48M,1.93%,12.85M,20.41M,FINVIZ
ARAY,421.26M,9.32%,87.45M,91.81M,FINVIZ
ARBGU,-,0.00%,21.02M,-,FINVIZ
ARBK,790.69M,N/A,342.74M,46.71M,YAHOO
ARCB,2.28B,5.25%,25.14M,25.59M,FINVIZ
ARCC,9.93B,1.20%,N/A,460.75M,YAHOO
ARCE,966.56M,4.63%,29.18M,57.02M,FINVIZ
ARCT,1.18B,8.39%,22.40M,26.32M,FINVIZ
ARDS,50.12M,0.33%,9.46M,11.23M,FINVIZ
ARDX,130.23M,8.63%,75.14M,100.04M,FINVIZ
AREC,134.08M,6.19%,45.86M,52.13M,FINVIZ
ARGUU,N/A,N/A,N/A,N/A,YAHOO
ARKO,1.18B,4.79%,78.82M,124.43M,FINVIZ
ARLP,1.47B,1.48%,86.98M,127.19M,FINVIZ
ARNA,3.58B,3.97%,56.50M,60.79M,FINVIZ
ARPO,Not Found,Not Found,Not Found,Not Found,YAHOO
ARQQ,N/A,N/A,278.52k,120.07M,YAHOO
ARQT,1.07B,4.12%,47.74M,50.00M,FINVIZ
ARRWU,-,0.00%,28.04M,-,FINVIZ
ARRY,2.88B,8.67%,125.60M,126.99M,FINVIZ
ARTAU,N/A,N/A,N/A,N/A,YAHOO
ARTEU,N/A,N/A,N/A,N/A,YAHOO
ARTL,17.79M,3.85%,21.55M,23.11M,FINVIZ
ARTW,17.10M,0.34%,2.01M,4.53M,FINVIZ
ARVL,10.47B,9.32%,163.96M,606.16M,FINVIZ
ARVN,4.73B,5.17%,45.84M,48.86M,FINVIZ
ARWR,6.74B,2.88%,100.63M,104.10M,FINVIZ
ARYD,190.94M,4.05%,11.21M,19.19M,FINVIZ
ARYE,188.03M,0.01%,N/A,15.45M,YAHOO
ASAX,217.73M,N/A,17.25M,22.04M,YAHOO
ASAXU,-,0.06%,4.19M,-,FINVIZ
ASLE,984.96M,4.59%,34.42M,44.05M,FINVIZ
ASLN,126.29M,0.99%,47.93M,75.17M,FINVIZ
ASMB,146.22M,2.79%,40.52M,42.88M,FINVIZ
ASML,325.58B,0.25%,409.68M,416.51M,FINVIZ
ASND,8.67B,5.60%,43.52M,53.85M,FINVIZ
ASO,3.90B,18.55%,68.15M,91.19M,FINVIZ
ASPCU,N/A,N/A,N/A,N/A,YAHOO
ASPS,212.55M,3.34%,9.26M,15.83M,FINVIZ
ASPU,120.65M,3.44%,22.84M,25.07M,FINVIZ
ASRT,45.82M,3.04%,43.38M,44.71M,FINVIZ
ASRV,68.63M,0.03%,15.30M,17.07M,FINVIZ
ASTC,49.44M,0.64%,41.05M,43.99M,FINVIZ
ASTR,2.42B,9.98%,118.67M,202.07M,YAHOO
ASTS,2.07B,15.19%,37.96M,51.73M,FINVIZ
ASUR,182.38M,2.08%,17.15M,19.04M,FINVIZ
ASYS,218.99M,1.15%,13.92M,14.18M,FINVIZ
ATAI,-,1.89%,107.78M,-,FINVIZ
ATAX,428.55M,0.50%,60.02M,60.58M,FINVIZ
ATCX,379.07M,1.95%,27.48M,30.63M,FINVIZ
ATEC,1.17B,9.57%,65.46M,98.54M,FINVIZ
ATER,308.57M,55.43%,14.63M,29.55M,FINVIZ
ATEX,1.16B,4.59%,16.93M,17.74M,FINVIZ
ATH,16.17B,2.83%,185.79M,191.50M,FINVIZ
ATHA,438.37M,3.00%,35.52M,37.22M,FINVIZ
ATHE,53.00M,3.33%,20.81M,34.51M,FINVIZ
ATHX,269.01M,6.28%,207.05M,222.44M,FINVIZ
ATIF,36.64M,7.30%,2.46M,9.80M,FINVIZ
ATLO,223.96M,0.41%,8.96M,9.12M,FINVIZ
ATNF,176.74M,6.23%,22.42M,34.86M,FINVIZ
ATNX,289.79M,5.46%,81.10M,103.37M,FINVIZ
ATOM,522.53M,18.39%,20.59M,22.49M,FINVIZ
ATRA,1.29B,13.02%,84.27M,92.15M,FINVIZ
ATRC,3.41B,2.17%,44.55M,45.03M,FINVIZ
ATRO,408.67M,3.70%,27.28M,30.93M,FINVIZ
ATRS,639.09M,2.42%,166.31M,169.04M,FINVIZ
ATSG,1.85B,2.46%,57.66M,68.21M,FINVIZ
ATSPU,174.57M,0.00%,17.44M,17.46M,FINVIZ
ATVCU,-,0.07%,4.77M,-,FINVIZ
ATVI,60.37B,1.95%,772.10M,777.00M,FINVIZ
ATXI,27.97M,3.37%,6.63M,16.56M,FINVIZ
ATXS,90.84M,3.59%,8.29M,12.82M,FINVIZ
ATY,385.94M,-,45.99M,60.30M,FINVIZ
AUB,2.79B,1.33%,75.45M,78.82M,FINVIZ
AUPH,3.34B,14.55%,117.69M,128.22M,FINVIZ
AURC,346.81M,N/A,24.32M,27.8M,YAHOO
AURCU,N/A,N/A,24.32M,N/A,YAHOO
AUTL,421.18M,5.12%,33.90M,62.45M,FINVIZ
AUTO,43.44M,2.03%,7.80M,13.46M,FINVIZ
AUUD,35.94M,2.72%,8.93M,11.29M,FINVIZ
AUVI,54.28M,6.00%,3.64M,9.41M,FINVIZ
AVACU,N/A,N/A,N/A,N/A,YAHOO
AVAH,1.43B,4.25%,43.46M,171.15M,FINVIZ
AVAV,2.26B,4.94%,23.23M,24.62M,FINVIZ
AVCO,86.17M,3.18%,31.26M,84.62M,FINVIZ
AVCT,49.69M,5.59%,3.40M,20.30M,FINVIZ
AVDL,573.57M,9.98%,35.53M,58.49M,FINVIZ
AVEO,231.34M,5.51%,34.32M,34.36M,FINVIZ
AVGO,218.31B,1.21%,401.76M,411.00M,FINVIZ
AVGR,71.19M,0.92%,94.20M,95.35M,FINVIZ
AVID,1.35B,3.40%,42.53M,45.21M,FINVIZ
AVIR,965.07M,7.93%,67.48M,82.74M,FINVIZ
AVNW,328.61M,3.66%,10.30M,11.16M,FINVIZ
AVO,1.34B,2.94%,37.14M,70.61M,FINVIZ
AVPT,1.53B,N/A,6.13M,180.27M,YAHOO
AVRO,246.10M,4.70%,42.34M,42.51M,FINVIZ
AVT,3.81B,2.93%,98.56M,99.66M,FINVIZ
AVTE,381.52M,7.88%,4.20M,23.11M,FINVIZ
AVTX,244.85M,4.29%,35.72M,112.32M,YAHOO
AVXL,1.43B,7.53%,67.77M,70.59M,FINVIZ
AWH,378.88M,17.09%,58.28M,111.96M,FINVIZ
AXDX,401.79M,21.74%,34.52M,61.05M,FINVIZ
AXGN,651.50M,2.23%,39.55M,41.08M,FINVIZ
AXLA,125.31M,1.14%,30.89M,37.73M,FINVIZ
AXNX,3.37B,11.64%,40.63M,42.79M,FINVIZ
AXON,11.95B,1.75%,64.39M,65.17M,FINVIZ
AXSM,1.48B,12.95%,29.06M,37.59M,FINVIZ
AXTI,352.13M,3.08%,39.95M,41.25M,FINVIZ
AY,4.32B,5.24%,61.29M,110.80M,FINVIZ
AYRO,111.19M,9.40%,30.96M,35.31M,FINVIZ
AYTU,67.79M,5.69%,25.64M,27.56M,YAHOO
AZN,191.62B,0.27%,2.62B,2.62B,FINVIZ
AZPN,10.69B,2.19%,66.48M,68.03M,FINVIZ
BAND,2.24B,16.97%,22.69M,25.10M,FINVIZ
BAOS,44.96M,1.83%,8.06M,26.76M,FINVIZ
BASE,1.77B,7.16%,43.02M,43.28M,FINVIZ
BBBY,1.42B,26.92%,99.60M,101.95M,FINVIZ
BBGI,69.28M,0.55%,8.73M,29.23M,FINVIZ
BBI,44.96M,3.30%,79.68M,85.92M,YAHOO
BBIG,504.88M,24.87%,93.38M,107.02M,YAHOO
BBIO,7.26B,11.17%,99.76M,146.75M,FINVIZ
BCAB,993.82M,10.35%,27.04M,33.68M,FINVIZ
BCACU,N/A,N/A,5.39M,N/A,YAHOO
BCBP,254.92M,0.39%,15.05M,17.13M,FINVIZ
BCDA,49.25M,2.43%,11.62M,17.05M,FINVIZ
BCEL,146.08M,17.47%,22.24M,36.89M,FINVIZ
BCLI,105.84M,2.80%,30.00M,36.32M,FINVIZ
BCML,202.50M,0.41%,9.85M,10.89M,FINVIZ
BCOR,802.05M,1.97%,47.65M,48.51M,FINVIZ
BCOV,418.92M,2.45%,40.01M,40.62M,FINVIZ
BCRX,2.65B,10.70%,177.25M,178.13M,FINVIZ
BCTX,113.94M,16.29%,11.68M,14.33M,FINVIZ
BCYC,1.45B,4.96%,6.19M,24.05M,FINVIZ
BCYP,154.62M,0.10%,11.73M,14.79M,FINVIZ
BCYPU,-,0.05%,11.74M,-,FINVIZ
BDSI,401.31M,1.99%,96.02M,98.79M,FINVIZ
BDSX,208.18M,6.53%,7.48M,27.73M,FINVIZ
BDTX,278.44M,10.69%,34.90M,36.18M,FINVIZ
BEAM,5.97B,12.54%,43.98M,62.21M,FINVIZ
BECN,3.76B,3.45%,55.15M,69.90M,FINVIZ
BEEM,295.15M,36.08%,7.53M,8.88M,FINVIZ
BELFB,155.03M,N/A,11.7M,10.27M,YAHOO
BENE,135.50M,0.03%,11.89M,14.89M,FINVIZ
BENER,N/A,N/A,N/A,N/A,YAHOO
BENEU,-,0.02%,10.16M,-,FINVIZ
BFI,146.45M,6.45%,13.02M,17.86M,FINVIZ
BFIN,156.38M,1.06%,12.12M,14.43M,FINVIZ
BFRA,153.27M,0.03%,13.16M,29.62M,FINVIZ
BGCP,2.03B,2.68%,301.16M,384.90M,FINVIZ
BGFV,542.60M,40.80%,20.78M,21.75M,FINVIZ
BGNE,33.04B,4.87%,63.84M,91.85M,FINVIZ
BHACU,N/A,N/A,N/A,N/A,YAHOO
BHAT,39.56M,1.16%,32.95M,47.13M,FINVIZ
BHF,4.15B,2.25%,82.59M,85.55M,FINVIZ
BHFAN,-,0.02%,82.55M,-,FINVIZ
BHSE,93.52M,0.65%,4.25M,9.38M,YAHOO
BHSEU,N/A,N/A,4.25M,N/A,YAHOO
BHTG,35.33M,0.49%,23.02M,28.26M,FINVIZ
BICK,Not Found,Not Found,Not Found,Not Found,YAHOO
BIDU,57.41B,3.32%,268.51M,353.86M,FINVIZ
BIGC,3.51B,16.46%,60.12M,70.62M,FINVIZ
BIIB,39.97B,1.64%,145.88M,148.00M,FINVIZ
BILI,28.35B,10.18%,204.81M,384.59M,FINVIZ
BIMI,28.91M,0.26%,20.13M,23.71M,FINVIZ
BIOC,57.13M,3.82%,14.72M,14.72M,YAHOO
BIOL,89.34M,3.60%,148.76M,150.66M,FINVIZ
BIOTU,N/A,N/A,23M,N/A,YAHOO
BIOX,499.22M,0.82%,6.74M,36.12M,FINVIZ
BITF,1.18B,-,146.72M,151.96M,FINVIZ
BJRI,758.70M,9.85%,22.37M,23.25M,FINVIZ
BKCC,312.71M,0.75%,N/A,74.1M,YAHOO
BKEP,140.78M,1.53%,3.40M,41.47M,FINVIZ
BKNG,100.08B,1.76%,40.95M,41.05M,FINVIZ
BKYI,25.99M,2.01%,7.17M,7.78M,FINVIZ
BL,7.45B,10.33%,53.56M,58.21M,FINVIZ
BLBD,536.53M,3.78%,16.91M,27.17M,FINVIZ
BLCM,18.33M,9.32%,8.35M,10.11M,FINVIZ
BLCT,108.99M,1.58%,13.85M,36.89M,FINVIZ
BLDE,717.45M,9.48%,58.67M,75.76M,FINVIZ
BLDP,5.65B,9.49%,241.01M,297.57M,FINVIZ
BLFS,2.16B,4.33%,36.47M,38.07M,FINVIZ
BLFY,401.84M,2.87%,28.48M,28.56M,FINVIZ
BLI,1.61B,12.01%,55.24M,66.79M,FINVIZ
BLIN,29.88M,3.89%,7.59M,8.39M,YAHOO
BLKB,3.52B,5.52%,41.05M,47.76M,FINVIZ
BLMN,1.95B,17.35%,88.06M,89.08M,FINVIZ
BLNGU,N/A,N/A,N/A,N/A,YAHOO
BLNK,1.42B,35.83%,36.27M,42.04M,FINVIZ
BLPH,34.48M,0.47%,9.12M,9.51M,FINVIZ
BLRX,132.23M,0.74%,45.98M,46.08M,FINVIZ
BLTSU,-,0.00%,23.00M,-,FINVIZ
BLU,568.79M,3.51%,70.96M,78.34M,FINVIZ
BLUE,1.55B,8.65%,66.56M,67.49M,FINVIZ
BMBL,10.26B,10.53%,64.36M,118.05M,FINVIZ
BMEA,308.97M,13.69%,14.36M,28.77M,FINVIZ
BMRA,62.10M,12.60%,10.51M,12.43M,FINVIZ
BMRN,14.79B,5.89%,182.32M,182.84M,FINVIZ
BMTC,919.39M,1.73%,19.58M,19.88M,FINVIZ
BND,Not Found,Not Found,Not Found,Not Found,YAHOO
BNDX,Not Found,Not Found,Not Found,Not Found,YAHOO
BNFT,373.52M,4.13%,29.37M,33.08M,FINVIZ
BNGO,1.43B,15.11%,278.20M,278.90M,FINVIZ
BNIXU,N/A,N/A,N/A,N/A,YAHOO
BNL,4.20B,3.21%,142.43M,146.12M,FINVIZ
BNNRU,N/A,N/A,N/A,N/A,YAHOO
BNR,1.51B,3.26%,58.51M,104.09M,FINVIZ
BNSO,27.84M,2.92%,1.17M,4.89M,FINVIZ
BNTC,31.44M,0.47%,5.83M,7.06M,FINVIZ
BNTX,69.54B,1.18%,215.94M,244.06M,FINVIZ
BOKF,6.86B,3.38%,30.51M,68.82M,FINVIZ
BOLT,487.34M,12.38%,34.72M,36.59M,FINVIZ
BOMN,1.07B,2.24%,27.70M,29.42M,FINVIZ
BON,50.58M,0.52%,5.69M,8.43M,FINVIZ
BOOM,735.75M,5.33%,18.43M,18.73M,FINVIZ
BOSC,18.37M,0.77%,4.28M,5.22M,FINVIZ
BOTZ,Not Found,Not Found,Not Found,Not Found,YAHOO
