title,percent_true
11_4_max_hi_10p,36
11_4_max_hi_25p,13
11_4_max_hi_50p,5
11_4_max_hi_100p,1
11_4_max_low_10p,50
11_4_max_low_25p,13
11_4_max_low_50p,0
11_4_max_low_100p,0
1130_4_never_broke_pre,72
1130_4_never_broke_open,69
1130_4_always_gt_open,14
1130_4_always_lt_open,49
1130_4_crosses_open,36
1130_4_closed_up,34
1130_4_max_hi_10p,35
1130_4_max_hi_25p,13
1130_4_max_hi_50p,4
1130_4_max_hi_100p,1
1130_4_max_low_10p,47
1130_4_max_low_25p,11
1130_4_max_low_50p,1
1130_4_max_low_100p,0
12_4_never_broke_pre,74
12_4_never_broke_open,72
12_4_always_gt_open,14
12_4_always_lt_open,53
12_4_crosses_open,32
12_4_closed_up,31
12_4_max_hi_10p,33
12_4_max_hi_25p,9
12_4_max_hi_50p,4
12_4_max_hi_100p,0
12_4_max_low_10p,39
12_4_max_low_25p,7
12_4_max_low_50p,1
12_4_max_low_100p,0
